iter	Passed	Remaining
0	39	39662
1	66	33096
2	90	30167
3	110	27393
4	134	26675
5	152	25333
6	173	24564
7	192	23886
8	214	23586
9	234	23186
10	262	23571
11	288	23786
12	313	23794
13	334	23569
14	359	23593
15	382	23523
16	403	23333
17	426	23292
18	446	23064
19	467	22901
20	484	22581
21	507	22545
22	529	22511
23	548	22320
24	571	22271
25	588	22063
26	612	22055
27	632	21953
28	653	21877
29	673	21765
30	695	21742
31	716	21688
32	739	21657
33	765	21760
34	790	21798
35	811	21740
36	834	21711
37	857	21710
38	879	21672
39	898	21569
40	919	21501
41	937	21380
42	959	21351
43	978	21252
44	1002	21270
45	1023	21232
46	1048	21254
47	1073	21293
48	1097	21295
49	1119	21267
50	1142	21250
51	1161	21184
52	1184	21161
53	1204	21108
54	1229	21118
55	1249	21064
56	1271	21029
57	1294	21027
58	1316	21004
59	1335	20929
60	1356	20873
61	1374	20792
62	1397	20777
63	1415	20695
64	1432	20609
65	1451	20546
66	1478	20591
67	1503	20606
68	1527	20606
69	1547	20553
70	1570	20548
71	1590	20495
72	1609	20432
73	1630	20408
74	1649	20348
75	1671	20319
76	1693	20300
77	1715	20274
78	1737	20251
79	1755	20185
80	1777	20164
81	1798	20130
82	1819	20096
83	1840	20075
84	1859	20019
85	1881	19992
86	1899	19929
87	1920	19904
88	1942	19879
89	1964	19865
90	1986	19841
91	2007	19817
92	2029	19788
93	2049	19755
94	2068	19708
95	2089	19674
96	2110	19649
97	2134	19645
98	2157	19637
99	2178	19602
100	2207	19650
101	2233	19662
102	2258	19666
103	2282	19664
104	2308	19673
105	2328	19641
106	2351	19622
107	2373	19601
108	2396	19591
109	2419	19572
110	2439	19535
111	2460	19508
112	2482	19488
113	2505	19471
114	2524	19429
115	2546	19407
116	2569	19393
117	2589	19355
118	2613	19352
119	2634	19323
120	2655	19287
121	2677	19268
122	2696	19223
123	2718	19204
124	2736	19158
125	2758	19134
126	2778	19101
127	2801	19084
128	2822	19059
129	2851	19080
130	2877	19087
131	2901	19077
132	2928	19088
133	2954	19091
134	2979	19088
135	3006	19097
136	3028	19080
137	3049	19050
138	3073	19036
139	3095	19018
140	3121	19015
141	3148	19022
142	3176	19038
143	3202	19036
144	3230	19049
145	3255	19044
146	3284	19056
147	3313	19074
148	3335	19050
149	3360	19042
150	3383	19023
151	3404	18992
152	3428	18980
153	3452	18967
154	3480	18972
155	3501	18943
156	3527	18942
157	3554	18943
158	3578	18925
159	3599	18895
160	3623	18882
161	3648	18870
162	3671	18850
163	3694	18834
164	3719	18821
165	3741	18799
166	3766	18786
167	3788	18764
168	3811	18742
169	3832	18709
170	3853	18681
171	3871	18638
172	3889	18593
173	3906	18544
174	3925	18507
175	3945	18470
176	3965	18438
177	3986	18407
178	4005	18373
179	4027	18346
180	4046	18308
181	4065	18270
182	4084	18233
183	4104	18200
184	4127	18183
185	4148	18155
186	4173	18144
187	4192	18109
188	4217	18096
189	4242	18086
190	4267	18073
191	4290	18055
192	4314	18041
193	4337	18019
194	4358	17992
195	4376	17954
196	4394	17913
197	4416	17889
198	4437	17860
199	4460	17842
200	4489	17847
201	4514	17835
202	4538	17819
203	4562	17802
204	4586	17784
205	4605	17752
206	4630	17738
207	4652	17713
208	4675	17693
209	4696	17667
210	4716	17637
211	4736	17606
212	4755	17572
213	4776	17544
